code,name,stock,price
133598000001,Ground Beef (1kg),1,399
133598000002,White Loaf Bread,1,60
133598000003,Rice (5kg),1,350
133598000004,Almond Nuts (1.5kg),1,1000
133598000005,Italian Pasta (250g),1,148
133598000006,Body Wash (1L),1,330
133598000007,Lotion (355mL),1,800
133598000008,Hand Cream (100g),1,500
133598000009,Face Wash (200mL),1,165
133598000010,Hair Shampoo (1.2L),1,600
133598000011,Liquid Laundry Detergent (1.77L),1,499
133598000012,Paper Tissues (9 rolls),1,200
133598000013,DishWashing Liquid (400mL),1,100
133598000014,Insect Killing Spray (600mL),1,349
133598000015,Zipper Bags (15 Pieces),1,149
133598000016,Glue Pen,1,130
133598000017,Kids Backpack,1,1499
133598000018,3M Tape,1,550
133598000019,3 Pieces Scissor Pack ,1,1100
133598000020,Writing Sheets (24 Sheets),1,650
133598000021,Wine (750mL),1,599
133598000022,Chocolate Milk (500mL),1,150
133598000023,Iced Tea Mix (2.34kg),1,550
133598000024,Fruit Juice Cocktail (3.78L),1,280
133598000025,Soda (1.5L),1,62
